date,code,close,peTTM,pbMRQ,psTTM,pcfNcfTTM
2020-06-10,sh.600000,10.5800,5.191932,0.605645,1.584187,16.524504
2020-06-11,sh.600000,10.4800,5.142859,0.599920,1.569214,16.368318
2020-06-12,sh.600000,10.5500,5.177210,0.603928,1.579695,16.477649
2020-06-15,sh.600000,10.3500,5.079064,0.592479,1.549748,16.165276
2020-06-16,sh.600000,10.4500,5.128137,0.598203,1.564722,16.321462
2020-06-17,sh.600000,10.4700,5.137951,0.599348,1.567716,16.352699
2020-06-18,sh.600000,10.5000,5.152673,0.601065,1.572208,16.399555
2020-06-19,sh.600000,10.6100,5.206654,0.607362,1.588679,16.571360
2020-06-22,sh.600000,10.5500,5.177210,0.603928,1.579695,16.477649
2020-06-23,sh.600000,10.4800,5.142859,0.599920,1.569214,16.368318
2020-06-24,sh.600000,10.6000,5.201746,0.606790,1.587182,16.555742
2020-06-29,sh.600000,10.5700,5.187024,0.605072,1.582690,16.508886
2020-06-30,sh.600000,10.5800,5.191932,0.605645,1.584187,16.524504
2020-07-01,sh.600000,10.7400,5.270449,0.614804,1.608144,16.774402
2020-07-02,sh.600000,11.0500,5.422575,0.632550,1.654562,17.258580
2020-07-03,sh.600000,11.1900,5.491283,0.640565,1.675527,17.477259
2020-07-06,sh.600000,12.2000,5.986922,0.698381,1.826758,19.054742
2020-07-07,sh.600000,12.1100,5.942756,0.693229,1.813282,18.914174
2020-07-08,sh.600000,12.1400,5.957478,0.694947,1.817774,18.961030
2020-07-09,sh.600000,11.9900,5.883868,0.686360,1.795314,18.726750
2020-07-10,sh.600000,11.6000,5.692483,0.664035,1.736918,18.117623
2020-07-13,sh.600000,11.6600,5.721927,0.667469,1.745902,18.211335
2020-07-14,sh.600000,11.3800,5.584522,0.651441,1.703976,17.774013
2020-07-15,sh.600000,11.1800,5.486376,0.639992,1.674029,17.461640
2020-07-16,sh.600000,11.2000,5.496193,0.641137,1.677025,17.492884
2020-07-17,sh.600000,11.2700,5.530544,0.645144,1.687506,17.602214
2020-07-20,sh.600000,11.5200,5.653227,0.659455,1.724940,17.992681
2020-07-21,sh.600000,11.5400,5.663041,0.660600,1.727934,18.023918
2020-07-22,sh.600000,11.6200,5.702300,0.665180,1.739913,18.148867
2020-07-23,sh.600000,10.8400,5.319529,0.620529,1.623120,16.930613
2020-07-24,sh.600000,10.4200,5.113422,0.596487,1.560232,16.274629
2020-07-27,sh.600000,10.3700,5.088885,0.593624,1.552745,16.196536
2020-07-28,sh.600000,10.3900,5.098700,0.594769,1.555740,16.227774
2020-07-29,sh.600000,10.5100,5.157588,0.601639,1.573708,16.415197
2020-07-30,sh.600000,10.4000,5.103607,0.595342,1.557237,16.243392
2020-07-31,sh.600000,10.3600,5.083978,0.593052,1.551248,16.180918
2020-08-03,sh.600000,10.4100,5.108515,0.595914,1.558734,16.259011
2020-08-04,sh.600000,10.6600,5.231198,0.610225,1.596168,16.649477
2020-08-05,sh.600000,10.5100,5.157588,0.601639,1.573708,16.415197
2020-08-06,sh.600000,10.5300,5.167402,0.602784,1.576703,16.446435
2020-08-07,sh.600000,10.4300,5.118329,0.597059,1.561729,16.290248
2020-08-10,sh.600000,10.5200,5.162495,0.602211,1.575205,16.430816
2020-08-11,sh.600000,10.4700,5.137959,0.599349,1.567718,16.352723
2020-08-12,sh.600000,10.5600,5.182124,0.604501,1.581195,16.493291
2020-08-13,sh.600000,10.5100,5.157588,0.601639,1.573708,16.415197
2020-08-14,sh.600000,10.5900,5.196846,0.606218,1.585687,16.540146
2020-08-17,sh.600000,10.8400,5.319529,0.620529,1.623120,16.930613
2020-08-18,sh.600000,10.6900,5.245920,0.611943,1.600660,16.696333
2020-08-19,sh.600000,10.5800,5.191939,0.605646,1.584189,16.524528
2020-08-20,sh.600000,10.4700,5.137959,0.599349,1.567718,16.352723
2020-08-21,sh.600000,10.5000,5.152681,0.601066,1.572211,16.399579
2020-08-24,sh.600000,10.4600,5.133051,0.598776,1.566221,16.337104
2020-08-25,sh.600000,10.4500,5.128144,0.598204,1.564724,16.321485
2020-08-26,sh.600000,10.3700,5.088885,0.593624,1.552745,16.196536
2020-08-27,sh.600000,10.3500,5.079071,0.592480,1.549750,16.165299
2020-08-28,sh.600000,10.4600,5.133051,0.598776,1.566221,16.337104
2020-08-31,sh.600000,10.3600,5.453515,0.605517,1.563467,2.300995
2020-09-01,sh.600000,10.2900,5.416669,0.601425,1.552903,2.285448
2020-09-02,sh.600000,10.1800,5.358764,0.594996,1.536303,2.261017
2020-09-03,sh.600000,10.1200,5.327180,0.591489,1.527248,2.247691
2020-09-04,sh.600000,10.0700,5.300860,0.588567,1.519702,2.236586
2020-09-07,sh.600000,10.0100,5.269276,0.585060,1.510647,2.223259
2020-09-08,sh.600000,10.0500,5.290332,0.587398,1.516684,2.232143
2020-09-09,sh.600000,10.0100,5.269276,0.585060,1.510647,2.223259
2020-09-10,sh.600000,9.9600,5.242956,0.582138,1.503102,2.212154
2020-09-11,sh.600000,9.9200,5.221900,0.579800,1.497065,2.203270
2020-09-14,sh.600000,9.9000,5.211372,0.578631,1.494047,2.198828
2020-09-15,sh.600000,9.8600,5.190316,0.576293,1.488010,2.189944
2020-09-16,sh.600000,9.8600,5.190316,0.576293,1.488010,2.189944
2020-09-17,sh.600000,9.8300,5.174524,0.574540,1.483483,2.183281
2020-09-18,sh.600000,9.9400,5.232428,0.580969,1.500083,2.207712
2020-09-21,sh.600000,9.8400,5.179788,0.575124,1.484992,2.185502
2020-09-22,sh.600000,9.7000,5.106092,0.566941,1.463864,2.154407
2020-09-23,sh.600000,9.6300,5.069244,0.562850,1.453300,2.138860
2020-09-24,sh.600000,9.5000,5.000812,0.555252,1.433681,2.109986
2020-09-25,sh.600000,9.4700,4.985019,0.553498,1.429154,2.103323
2020-09-28,sh.600000,9.4600,4.979755,0.552914,1.427645,2.101102
2020-09-29,sh.600000,9.4300,4.963963,0.551161,1.423117,2.094439
2020-09-30,sh.600000,9.3900,4.942907,0.548823,1.417081,2.085555
2020-10-09,sh.600000,9.4200,4.958699,0.550576,1.421608,2.092218
2020-10-12,sh.600000,9.5900,5.048188,0.560512,1.447264,2.129976
2020-10-13,sh.600000,9.5400,5.021868,0.557590,1.439718,2.118871
2020-10-14,sh.600000,9.5300,5.016604,0.557005,1.438209,2.116650
2020-10-15,sh.600000,9.6200,5.063980,0.562266,1.451791,2.136639
2020-10-16,sh.600000,9.7200,5.116620,0.568110,1.466882,2.158849
2020-10-19,sh.600000,9.6500,5.079772,0.564019,1.456318,2.143302
2020-10-20,sh.600000,9.5800,5.042924,0.559928,1.445754,2.127755
2020-10-21,sh.600000,9.7000,5.106092,0.566941,1.463864,2.154407
2020-10-22,sh.600000,9.6500,5.079772,0.564019,1.456318,2.143302
2020-10-23,sh.600000,9.7000,5.106092,0.566941,1.463864,2.154407
2020-10-26,sh.600000,9.6000,5.053452,0.561097,1.448773,2.132197
2020-10-27,sh.600000,9.4800,4.990284,0.554083,1.430663,2.105544
2020-10-28,sh.600000,9.4000,4.948172,0.549407,1.418590,2.087776
2020-10-29,sh.600000,9.3700,4.932380,0.547654,1.414062,2.081113
2020-10-30,sh.600000,9.2600,4.874476,0.541224,1.397462,2.056682
2020-11-02,sh.600000,9.2500,4.909449,0.532103,1.406533,3.310539
2020-11-03,sh.600000,9.3000,4.935986,0.534979,1.414136,3.328434
2020-11-04,sh.600000,9.3400,4.957216,0.537280,1.420218,3.342750
2020-11-05,sh.600000,9.3600,4.967831,0.538431,1.423259,3.349908
2020-11-06,sh.600000,9.3900,4.983754,0.540157,1.427821,3.360645
2020-11-09,sh.600000,9.4300,5.004984,0.542458,1.433903,3.374960
2020-11-10,sh.600000,9.4600,5.020906,0.544183,1.438465,3.385697
2020-11-11,sh.600000,9.5600,5.073982,0.549936,1.453671,3.421487
