date,code,open,high,low,close,preclose,volume,amount,pctChg
2017-01-03,sh.000001,3105.3080,3136.4550,3105.3080,3135.9200,3103.6370,14156718592,159887138816.0000,1.040200
2017-01-04,sh.000001,3133.7870,3160.1020,3130.1140,3158.7940,3135.9200,16786085120,195914293248.0000,0.729400
2017-01-05,sh.000001,3157.9060,3168.5020,3154.2810,3165.4100,3158.7940,17472764416,199692025856.0000,0.209400
2017-01-06,sh.000001,3163.7760,3172.0340,3153.0250,3154.3210,3165.4100,18370896640,207296036864.0000,-0.350300
2017-01-09,sh.000001,3148.5310,3173.1360,3147.7350,3171.2360,3154.3210,17171407616,192110579712.0000,0.536200
2017-01-10,sh.000001,3167.5700,3174.5780,3157.3320,3161.6710,3171.2360,17975921664,194963218432.0000,-0.301600
2017-01-11,sh.000001,3156.6850,3167.0280,3136.2660,3136.7530,3161.6710,17836222208,189186457600.0000,-0.788100
2017-01-12,sh.000001,3133.6010,3144.9690,3115.9780,3119.2880,3136.7530,14888923904,161922297856.0000,-0.556800
2017-01-13,sh.000001,3116.0820,3130.5140,3102.1620,3112.7640,3119.2880,15627421440,174438555648.0000,-0.209200
2017-01-16,sh.000001,3104.4920,3105.1420,3044.2910,3103.4280,3112.7640,25788599552,262826041344.0000,-0.299900
2017-01-17,sh.000001,3087.0290,3108.9070,3072.3380,3108.7740,3103.4280,13615785984,154757554176.0000,0.172300
2017-01-18,sh.000001,3104.7660,3123.7200,3098.5860,3113.0120,3108.7740,13178012928,144546717696.0000,0.136300
2017-01-19,sh.000001,3104.9710,3115.7770,3094.0050,3101.2990,3113.0120,12385142016,139280461824.0000,-0.376300
2017-01-20,sh.000001,3095.8180,3125.6590,3095.2140,3123.1380,3101.2990,12236677632,141471809536.0000,0.704200
2017-01-23,sh.000001,3125.4200,3145.8410,3125.4200,3136.7740,3123.1380,13266039296,148145737728.0000,0.436600
2017-01-24,sh.000001,3134.5920,3149.5310,3131.2180,3142.5530,3136.7740,12597388032,134553853952.0000,0.184200
2017-01-25,sh.000001,3137.6460,3151.4720,3133.1910,3149.5540,3142.5530,11207382784,126765830144.0000,0.222800
2017-01-26,sh.000001,3149.2160,3163.1040,3148.9080,3159.1660,3149.5540,11387677184,125013192704.0000,0.305200
2017-02-03,sh.000001,3160.0810,3162.6770,3136.0130,3140.1700,3159.1660,9222473728,108023660544.0000,-0.601300
2017-02-06,sh.000001,3143.0930,3158.8430,3135.3860,3156.9830,3140.1700,12719828224,150067695616.0000,0.535400
2017-02-07,sh.000001,3154.4040,3159.5440,3140.0350,3153.0870,3156.9830,12833744128,152559087616.0000,-0.123400
2017-02-08,sh.000001,3148.0860,3167.4460,3132.0330,3166.9810,3153.0870,14492018688,170854125568.0000,0.440600
2017-02-09,sh.000001,3164.6870,3186.8380,3162.5740,3183.1790,3166.9810,19164032768,209723158528.0000,0.511500
2017-02-10,sh.000001,3183.0060,3205.0490,3182.8020,3196.6990,3183.1790,23934891264,245772165120.0000,0.424700
2017-02-13,sh.000001,3198.9940,3219.4070,3198.9940,3216.8390,3196.6990,22019150848,236158767104.0000,0.630000
2017-02-14,sh.000001,3216.1370,3219.4040,3205.2850,3217.9280,3216.8390,18879808768,204253822976.0000,0.033800
2017-02-15,sh.000001,3215.4630,3235.9970,3206.5600,3212.9850,3217.9280,24150770688,257965244416.0000,-0.153600
2017-02-16,sh.000001,3210.3560,3230.2750,3207.7850,3229.6180,3212.9850,21695594240,226587611136.0000,0.517700
2017-02-17,sh.000001,3227.7070,3238.3950,3199.4240,3202.0750,3229.6180,22622817792,248572751872.0000,-0.852800
2017-02-20,sh.000001,3198.9630,3241.4580,3198.9630,3239.9610,3202.0750,23215209728,250276130816.0000,1.183200
2017-02-21,sh.000001,3242.2220,3254.3350,3239.8770,3253.3250,3239.9610,21167306496,233551175680.0000,0.412500
2017-02-22,sh.000001,3252.6890,3261.3800,3243.8390,3261.2180,3253.3250,20745377536,234815324160.0000,0.242600
2017-02-23,sh.000001,3258.8310,3264.0810,3236.3540,3251.3750,3261.2180,20917979904,236822581248.0000,-0.301800
2017-02-24,sh.000001,3246.8600,3253.9550,3233.5340,3253.4320,3251.3750,18640636160,213839036416.0000,0.063300
2017-02-27,sh.000001,3249.1940,3251.6540,3224.0880,3228.6600,3253.4320,18258107136,211395715072.0000,-0.761400
2017-02-28,sh.000001,3225.9680,3242.6790,3225.9680,3241.7330,3228.6600,15124431872,186019287040.0000,0.404900
2017-03-01,sh.000001,3240.0720,3259.9780,3237.8710,3246.9330,3241.7330,19067755008,225940967424.0000,0.160400
2017-03-02,sh.000001,3250.5180,3256.8070,3228.6640,3230.0280,3246.9330,18121507584,223043960832.0000,-0.520600
2017-03-03,sh.000001,3219.2010,3221.1550,3206.6120,3218.3110,3230.0280,15708236800,192707923968.0000,-0.362800
2017-03-06,sh.000001,3217.3340,3234.6620,3215.0670,3233.8650,3218.3110,15609215744,193769172992.0000,0.483300
2017-03-07,sh.000001,3233.0930,3242.6590,3226.8210,3242.4060,3233.8650,16406423552,209931206656.0000,0.264100
2017-03-08,sh.000001,3240.5320,3245.3040,3230.6080,3240.6640,3242.4060,16073138688,198225780736.0000,-0.053700
2017-03-09,sh.000001,3233.7000,3233.8740,3205.2790,3216.7450,3240.6640,16737110784,199217647616.0000,-0.738100
2017-03-10,sh.000001,3213.7290,3222.3180,3208.4470,3212.7600,3216.7450,13667274240,173663170560.0000,-0.123900
2017-03-13,sh.000001,3209.4490,3237.1210,3193.1560,3237.0240,3212.7600,16367376128,206919741440.0000,0.755200
2017-03-14,sh.000001,3235.2510,3246.3280,3231.5200,3239.3270,3237.0240,14694602240,191535128576.0000,0.071100
2017-03-15,sh.000001,3235.4030,3243.7130,3227.7370,3241.7590,3239.3270,14405568256,185727250432.0000,0.075100
2017-03-16,sh.000001,3247.1620,3269.7700,3247.1620,3268.9350,3241.7590,18941600256,244508344320.0000,0.838300
2017-03-17,sh.000001,3271.8660,3274.1900,3232.2800,3237.4470,3268.9350,20058322432,262184046592.0000,-0.963300
2017-03-20,sh.000001,3241.1100,3251.1270,3228.1170,3250.8080,3237.4470,17054843136,213951758336.0000,0.412700
